source,target,value
news,MSFT,243770
news,MSFT,243771
news,MSFT,243772
news,MSFT,243773
news,MSFT,243802
news,MSFT,243841
news,MSFT,243860
news,MSFT,243861
news,MSFT,243862
news,MSFT,243863
news,MSFT,243864
news,MSFT,243865
news,MSFT,243866
news,MSFT,243874
news,MSFT,243883
news,MSFT,243886
news,MSFT,243894
news,MSFT,243908
news,MSFT,243909
news,MSFT,243910
news,MSFT,243911
news,MSFT,243912
news,MSFT,243913
news,MSFT,243993
news,MSFT,244005
news,MSFT,244006
news,MSFT,244007
news,MSFT,244008
news,MSFT,244009
news,MSFT,244010
news,MSFT,244022
news,MSFT,244033
news,MSFT,244064
news,MSFT,244065
news,MSFT,244066
news,MSFT,244067
news,MSFT,244068
news,MSFT,244090
news,MSFT,244153
news,MSFT,244154
news,MSFT,244155
news,MSFT,244156
news,MSFT,244157
news,MSFT,244158
news,MSFT,244183
news,MSFT,244193
news,MSFT,244194
news,MSFT,244221
news,MSFT,244222
news,MSFT,244223
news,MSFT,244244
news,MSFT,244248
news,MSFT,244258
news,MSFT,244259
news,MSFT,244260
news,MSFT,244261
news,MSFT,244279
news,MSFT,244280
news,MSFT,244281
news,MSFT,244298
news,MSFT,244302
news,MSFT,244303
news,MSFT,244304
news,MSFT,244305
news,MSFT,244308
news,MSFT,244309
news,MSFT,244310
news,MSFT,244347
news,MSFT,244349
news,MSFT,244350
news,MSFT,244371
news,MSFT,244372
news,MSFT,244373
news,MSFT,244374
news,MSFT,244375
news,MSFT,244376
news,MSFT,244388
news,MSFT,244394
news,MSFT,244395
news,MSFT,244396
news,MSFT,244397
news,MSFT,244398
news,MSFT,244422
news,MSFT,244423
news,MSFT,244432
news,MSFT,244454
news,MSFT,244496
news,MSFT,244497
news,MSFT,244498
news,MSFT,244499
news,MSFT,244500
news,MSFT,244501
news,MSFT,244502
news,MSFT,244503
news,MSFT,244523
news,MSFT,244526
news,MSFT,244529
news,MSFT,244530
news,MSFT,244531
news,MSFT,244532
news,MSFT,244533
news,MSFT,244534
news,MSFT,244535
news,MSFT,244541
news,MSFT,244585
news,MSFT,244604
news,MSFT,244628
news,MSFT,244629
news,MSFT,244630
news,MSFT,244631
news,MSFT,244632
news,MSFT,244649
news,MSFT,244655
news,MSFT,244656
news,MSFT,244657
news,MSFT,244658
news,MSFT,244660
news,MSFT,244661
news,MSFT,244662
news,MSFT,244691
news,MSFT,244699
news,MSFT,244715
news,MSFT,244766
news,MSFT,244767
news,MSFT,244768
news,MSFT,244769
news,MSFT,244770
news,MSFT,244771
news,MSFT,244772
news,MSFT,244773
news,MSFT,244844
news,MSFT,244845
news,MSFT,244851
news,MSFT,244852
news,MSFT,244853
news,MSFT,244854
news,MSFT,244855
news,MSFT,244856
news,MSFT,244857
news,MSFT,244964
news,MSFT,244965
news,MSFT,244966
